Timestamp, Internal Temperature, External Temperature, Reference Temperature, Actuators
07/09/2021 10:34:33,62.19,33.69,65.00,100%
07/09/2021 10:34:35,62.19,33.67,65.00,100%
07/09/2021 10:34:37,62.25,33.68,65.00,100%
07/09/2021 10:34:39,62.31,33.68,65.00,100%
07/09/2021 10:34:41,62.38,33.68,65.00,100%
07/09/2021 10:34:43,62.38,33.68,65.00,100%
07/09/2021 10:34:45,62.38,33.69,65.00,100%
07/09/2021 10:34:47,62.44,33.69,65.00,100%
07/09/2021 10:34:49,62.50,33.69,65.00,100%
07/09/2021 10:34:51,62.56,33.70,65.00,100%
07/09/2021 10:34:53,62.62,33.70,65.00,100%
07/09/2021 10:34:55,62.62,33.69,65.00,100%
07/09/2021 10:34:57,62.69,33.69,65.00,100%
07/09/2021 10:34:59,62.75,33.69,65.00,100%
07/09/2021 10:35:01,62.81,33.69,65.00,100%
07/09/2021 10:35:03,62.81,33.69,65.00,100%
07/09/2021 10:35:05,62.88,33.70,65.00,100%
07/09/2021 10:35:07,62.94,33.70,65.00,100%
07/09/2021 10:35:09,63.00,33.69,65.00,100%
07/09/2021 10:35:11,63.00,33.69,65.00,100%
07/09/2021 10:35:13,63.06,33.70,65.00,100%
07/09/2021 10:35:15,63.12,33.68,65.00,100%
07/09/2021 10:35:17,63.12,33.69,65.00,100%
07/09/2021 10:35:19,63.19,33.69,65.00,100%
07/09/2021 10:35:21,63.19,33.69,65.00,100%
07/09/2021 10:35:23,63.31,33.69,65.00,100%
07/09/2021 10:35:25,63.38,33.69,65.00,100%
07/09/2021 10:35:27,63.38,33.69,65.00,100%
07/09/2021 10:35:29,63.38,33.70,65.00,100%
07/09/2021 10:35:31,63.44,33.70,65.00,100%
07/09/2021 10:35:33,63.50,33.69,65.00,100%
07/09/2021 10:35:35,63.56,33.69,65.00,100%
07/09/2021 10:35:37,63.56,33.69,65.00,100%
07/09/2021 10:35:39,63.56,33.68,65.00,100%
07/09/2021 10:35:41,63.69,33.69,65.00,100%
07/09/2021 10:35:43,63.69,33.68,65.00,100%
07/09/2021 10:35:45,63.75,33.68,65.00,100%
07/09/2021 10:35:47,63.75,33.68,65.00,100%
07/09/2021 10:35:49,63.81,33.68,65.00,100%
07/09/2021 10:35:51,63.88,33.68,65.00,100%
07/09/2021 10:35:53,63.94,33.69,65.00,100%
07/09/2021 10:35:55,64.00,33.69,65.00,100%
07/09/2021 10:35:57,64.00,33.68,65.00,100%
07/09/2021 10:35:59,64.06,33.68,65.00,100%
07/09/2021 10:36:01,64.06,33.69,65.00,100%
07/09/2021 10:36:03,64.06,33.69,65.00,100%
07/09/2021 10:36:05,64.12,33.69,65.00,100%
07/09/2021 10:36:07,64.25,33.68,65.00,100%
07/09/2021 10:36:09,64.25,33.69,65.00,100%
07/09/2021 10:36:11,64.25,33.68,65.00,100%
07/09/2021 10:36:13,64.31,33.69,65.00,100%
07/09/2021 10:36:15,64.38,33.69,65.00,100%
07/09/2021 10:36:17,64.38,33.69,65.00,100%
07/09/2021 10:36:19,64.44,33.69,65.00,100%
07/09/2021 10:36:21,64.50,33.68,65.00,100%
07/09/2021 10:36:23,64.50,33.68,65.00,100%
07/09/2021 10:36:25,64.56,33.68,65.00,100%
07/09/2021 10:36:27,64.69,33.68,65.00,100%
07/09/2021 10:36:29,64.69,33.69,65.00,100%
07/09/2021 10:36:31,64.69,33.69,65.00,100%
07/09/2021 10:36:33,64.69,33.69,65.00,100%
07/09/2021 10:36:35,64.75,33.69,65.00,100%
07/09/2021 10:36:37,64.75,33.68,65.00,100%
07/09/2021 10:36:39,64.81,33.69,65.00,100%
07/09/2021 10:36:41,64.88,33.69,65.00,100%
07/09/2021 10:36:43,64.94,33.69,65.00,100%
07/09/2021 10:36:45,64.88,33.69,65.00,100%
07/09/2021 10:36:47,64.88,33.69,65.00,100%
07/09/2021 10:36:49,65.00,33.69,65.00,99%
07/09/2021 10:36:51,65.06,33.69,65.00,99%
07/09/2021 10:36:53,65.12,33.69,65.00,98%
07/09/2021 10:36:55,65.12,33.68,65.00,98%
07/09/2021 10:36:57,65.12,33.69,65.00,98%
07/09/2021 10:36:59,65.19,33.69,65.00,98%
07/09/2021 10:37:01,65.25,33.69,65.00,97%
07/09/2021 10:37:03,65.25,33.69,65.00,97%
07/09/2021 10:37:05,65.25,33.69,65.00,96%
07/09/2021 10:37:07,65.31,33.68,65.00,95%
07/09/2021 10:37:09,65.38,33.70,65.00,94%
07/09/2021 10:37:11,65.38,33.69,65.00,94%
07/09/2021 10:37:13,65.38,33.70,65.00,93%
07/09/2021 10:37:15,65.44,33.69,65.00,92%
07/09/2021 10:37:17,65.50,33.69,65.00,91%
07/09/2021 10:37:19,65.50,33.69,65.00,90%
07/09/2021 10:37:21,65.56,33.70,65.00,88%
07/09/2021 10:37:23,65.56,33.69,65.00,88%
07/09/2021 10:37:25,65.62,33.69,65.00,86%
07/09/2021 10:37:27,65.62,33.70,65.00,85%
07/09/2021 10:37:29,65.69,33.69,65.00,83%
07/09/2021 10:37:31,65.69,33.68,65.00,83%
07/09/2021 10:37:33,65.69,33.70,65.00,82%
07/09/2021 10:37:35,65.69,33.70,65.00,80%
07/09/2021 10:37:37,65.75,33.70,65.00,80%
07/09/2021 10:37:39,65.75,33.70,65.00,78%
07/09/2021 10:37:41,65.81,33.70,65.00,76%
07/09/2021 10:37:43,65.81,33.69,65.00,74%
07/09/2021 10:37:45,65.88,33.70,65.00,73%
07/09/2021 10:37:47,65.88,33.70,65.00,71%
07/09/2021 10:37:49,65.88,33.71,65.00,69%
07/09/2021 10:37:51,65.88,33.70,65.00,69%
07/09/2021 10:37:53,65.88,33.71,65.00,67%
07/09/2021 10:37:55,65.88,33.70,65.00,65%
07/09/2021 10:37:57,65.88,33.71,65.00,64%
07/09/2021 10:37:59,65.88,33.71,65.00,62%
